,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
146,80456,399,236,163,144.8,0,0,0,0,0,52,0,34,162,86,65,0,0,59.3,0,399,399,399,74,65,399,236,163,144.8,65,44,21,209.5,399,0,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,399,399,0,0,0,0,0,0,0,0,399,236,163
147,80457,430,201,229,87.8,7,0,20,23,9,63,138,20,89,28,24,0,9,40.6,50,380,380,380,61,33,380,171,209,81.8,33,0,33,-,409,21,409,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,430,0,0,0,0,21,49,28,21,0,0,381,381,0,0,0,0,0,0,0,0,380,171,209
148,80459,"2,561","1,388","1,173",118.3,185,124,327,223,124,295,267,291,170,252,133,157,13,35.1,801,"1,845","1,760","1,682",445,303,"1,760",941,819,114.9,303,140,163,85.9,"2,113",448,"2,113","2,070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,448,0,25,0,423,0,0,"2,518",0,25,0,0,466,544,531,10,0,3,"2,017","1,764",0,0,0,0,43,210,185,25,"1,715",920,795
149,80461,"7,052","3,742","3,310",113.1,313,360,335,515,580,"1,420","1,168",812,193,461,712,157,26,35.1,"1,212","5,978","5,840","5,460","1,160",895,"5,840","3,251","2,589",125.6,895,514,381,134.9,"5,766","1,286","5,766","5,119",9,182,0,0,50,25,24,11,0,0,0,13,0,0,2,0,2,0,0,430,"1,286",50,182,41,991,0,0,"6,405",59,374,77,14,"1,431","2,241","1,624",0,0,617,"4,811","4,159",9,120,24,2,67,430,209,221,"5,257","2,870","2,387"
150,80463,92,46,46,100.0,0,0,0,0,0,17,14,12,16,19,10,4,0,58.2,0,92,92,92,33,14,92,46,46,100.0,14,11,3,366.7,92,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,92,46,46
151,80465,"15,783","8,207","7,576",108.3,599,574,914,947,"1,007","1,973","2,132","2,098","1,291","1,335","2,150",606,157,43.8,"2,688","13,480","13,095","12,442","3,651","2,913","13,095","6,798","6,297",108.0,"2,913","1,445","1,468",98.4,"14,383","1,400","14,383","13,280",212,89,0,0,0,0,369,38,221,57,30,0,16,7,11,0,11,0,0,422,"1,400",201,102,173,856,0,0,"14,665",413,259,542,11,"1,346","2,200","1,076",58,0,"1,066","13,583","12,464",198,54,360,11,55,441,31,410,"12,846","6,695","6,151"
152,80466,"3,442","1,979","1,463",135.3,210,164,84,74,224,399,418,640,483,286,366,88,6,47.3,502,"2,947","2,940","2,910",632,460,"2,940","1,728","1,212",142.6,460,260,200,130.0,"3,326",116,"3,326","3,199",31,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,76,116,0,23,31,62,0,0,"3,315",31,23,51,0,138,231,68,0,42,121,"3,211","3,098",31,0,20,0,0,62,8,54,"2,819","1,631","1,188"
153,80467,"2,512","1,300","1,212",107.3,95,237,62,78,30,532,408,309,201,166,306,70,18,39.7,430,"2,114","2,082","2,024",547,394,"2,082",993,"1,089",91.2,394,198,196,101.0,"2,438",74,"2,438","2,253",10,104,0,0,0,0,12,3,0,0,9,0,0,0,11,0,11,0,0,48,74,0,29,0,45,0,0,"2,327",10,133,12,11,93,112,26,49,12,25,"2,400","2,208",0,104,12,11,0,65,36,29,"2,064",982,"1,082"
154,80468,411,168,243,69.1,26,8,0,0,87,22,18,75,0,44,131,0,0,49.5,34,377,377,377,175,131,377,153,224,68.3,131,20,111,18.0,398,13,398,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,411,0,0,0,0,13,13,13,0,0,0,398,398,0,0,0,0,0,0,0,0,377,153,224
155,80469,356,167,189,88.4,26,27,9,0,0,87,34,78,49,21,25,0,0,42.7,62,294,294,294,25,25,294,157,137,114.6,25,14,11,127.3,356,0,356,350,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,6,0,0,0,0,0,0,0,356,350,0,0,6,0,0,0,0,0,294,157,137
156,80470,"3,898","2,034","1,864",109.1,134,155,132,92,105,350,497,659,569,352,573,213,67,51.1,492,"3,420","3,406","3,343","1,032",853,"3,406","1,839","1,567",117.4,853,446,407,109.6,"3,830",68,"3,830","3,794",1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,22,0,9,0,0,"3,862",17,90,0,0,30,46,21,9,16,0,"3,852","3,778",1,35,0,0,0,38,0,38,"3,406","1,839","1,567"
157,80471,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,80473,53,42,11,381.8,0,0,0,0,0,29,0,3,3,5,5,8,0,33.9,0,53,53,53,18,13,53,42,11,381.8,13,5,8,62.5,53,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,53,42,11
159,80474,189,71,118,60.2,0,0,0,0,11,46,25,38,0,19,50,0,0,48.2,0,189,189,189,69,50,189,71,118,60.2,50,15,35,42.9,189,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,189,189,0,0,0,0,0,0,0,0,189,71,118
160,80475,9,0,9,-,0,0,0,0,0,0,0,0,0,9,0,0,0,-,0,9,9,9,0,0,9,0,9,-,0,0,0,-,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,0,9
161,80476,231,114,117,97.4,0,2,14,0,0,28,34,47,12,37,50,4,3,52.1,16,215,215,215,86,57,215,103,112,92.0,57,17,40,42.5,217,14,217,211,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,4,0,0,225,0,10,6,0,4,0,0,0,0,0,231,211,0,0,6,0,0,14,4,10,215,103,112
162,80478,"1,766","1,017",749,135.8,24,72,90,133,135,239,190,342,29,197,134,126,55,44.0,277,"1,580","1,489","1,438",414,315,"1,489",964,525,183.6,315,200,115,173.9,"1,669",97,"1,669","1,614",17,38,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,97,0,0,"1,711",17,38,0,0,97,22,5,0,0,17,"1,744","1,597",17,38,0,0,0,92,92,0,"1,489",964,525
163,80479,12,12,0,-,0,0,0,0,0,12,0,0,0,0,0,0,0,-,0,12,12,12,0,0,12,12,0,-,0,0,0,-,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
164,80480,"1,196",620,576,107.6,47,42,76,108,64,94,95,107,101,65,245,112,40,51.6,241,"1,027",955,901,457,397,955,515,440,117.0,397,211,186,113.4,"1,111",85,"1,111","1,102",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,2,0,83,0,0,"1,187",9,2,0,0,83,165,157,0,0,8,"1,031","1,006",9,0,0,0,0,16,14,2,955,515,440
165,80481,532,324,208,155.8,20,5,5,11,7,114,94,48,21,96,83,1,27,47.3,41,500,491,484,176,111,491,288,203,141.9,111,51,60,85.0,509,23,509,382,0,120,0,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,2,23,0,21,2,0,0,0,405,0,141,7,0,2,2,0,0,0,2,530,382,0,120,5,0,0,23,0,23,482,283,199
166,80482,"1,207",730,477,153.0,3,0,21,53,49,152,50,157,49,156,434,83,0,62.3,77,"1,183","1,130","1,100",606,517,"1,130",699,431,162.2,517,353,164,215.2,"1,144",63,"1,144","1,139",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,63,0,0,"1,202",0,5,0,0,63,26,18,0,0,8,"1,181","1,132",0,0,0,0,0,49,49,0,"1,120",689,431
167,80483,504,317,187,169.5,32,17,29,37,19,48,59,49,11,60,113,25,5,47.6,90,414,414,385,174,143,414,258,156,165.4,143,93,50,186.0,460,44,460,426,0,14,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,44,0,9,0,33,0,0,470,2,25,20,0,33,18,12,0,0,6,486,417,0,14,20,0,0,35,26,9,414,258,156
168,80487,"18,383","9,546","8,837",108.0,672,944,873,996,"1,129","2,376","2,755","2,613","1,359","1,468","2,206",714,278,42.3,"3,122","15,675","15,261","14,684","4,057","3,198","15,261","8,055","7,206",111.8,"3,198","1,656","1,542",107.4,"16,411","1,972","16,411","15,844",38,43,0,0,0,0,211,0,34,89,0,14,24,50,33,0,33,0,0,242,"1,972",13,188,48,"1,600",0,0,"17,801",83,257,296,116,"1,852","1,375",880,147,49,299,"17,008","15,118",38,7,206,33,43,"1,563","1,259",304,"14,847","7,827","7,020"
169,80498,"8,426","4,741","3,685",128.7,247,227,456,151,146,"1,524","1,160","1,417",611,985,"1,199",291,12,47.5,"1,022","7,447","7,404","7,247","1,986","1,502","7,404","4,192","3,212",130.5,"1,502",777,725,107.2,"7,442",984,"7,442","7,033",8,27,0,0,0,4,1,1,0,0,0,0,0,0,55,0,0,0,55,318,984,0,0,54,930,0,0,"8,017",8,27,55,55,"1,248","1,634","1,033",89,0,512,"6,792","6,632",8,4,1,55,0,92,38,54,"6,881","3,822","3,059"
170,80501,"43,222","21,886","21,336",102.6,"2,221","2,364","2,364","3,018","2,826","6,980","6,338","4,914","2,925","2,321","4,075","1,946",930,37.3,"8,598","35,476","34,624","32,855","8,233","6,951","34,624","17,618","17,006",103.6,"6,951","3,147","3,804",82.7,"38,213","5,009","38,213","33,824",594,197,4,0,0,87,640,61,27,120,43,91,33,265,46,17,29,0,0,"2,912","5,009",556,424,351,"3,310",4,42,"38,684","1,238",845,"1,169",89,"6,420","12,582","10,253",200,46,"2,083","30,640","27,356",542,123,637,46,103,"1,833",570,"1,263","31,955","16,206","15,749"
171,80503,"36,235","18,166","18,069",100.5,"1,041","1,924","2,337","2,958","1,874","4,118","4,692","4,961","2,992","2,862","3,535","1,896","1,045",43.6,"7,343","30,327","28,892","27,772","8,076","6,476","28,892","14,288","14,604",97.8,"6,476","2,749","3,727",73.8,"34,264","1,971","34,264","31,859",315,68,0,0,0,0,"1,524",277,507,90,46,169,101,334,9,0,0,0,9,489,"1,971",232,237,421,926,9,0,"33,727",647,352,"2,054",36,"1,428","3,444","2,223",223,136,862,"32,791","29,783",315,0,"1,476",9,19,"1,189",209,980,"27,812","13,730","14,082"
172,80504,"60,527","30,277","30,250",100.1,"4,016","3,339","4,101","3,789","3,034","8,241","8,006","8,005","4,256","4,093","6,732","2,180",735,39.5,"13,773","48,255","46,754","44,311","11,810","9,647","46,754","22,829","23,925",95.4,"9,647","4,302","5,345",80.5,"54,849","5,678","54,849","48,726",486,390,15,0,80,38,"1,614",53,360,134,148,75,138,706,0,0,0,0,0,"3,633","5,678",354,782,538,"3,675",0,0,"54,323",978,"1,336","2,284",165,"7,454","14,072","10,921",134,233,"2,784","46,455","42,401",331,261,"1,589",0,168,"1,705",246,"1,459","44,658","21,807","22,851"
173,80510,522,275,247,111.3,2,20,46,37,12,66,26,143,56,37,47,25,5,50.3,105,454,417,417,104,77,417,219,198,110.6,77,24,53,45.3,448,74,448,446,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,36,0,36,0,0,520,4,36,0,0,36,38,20,0,0,18,484,441,2,0,0,0,0,41,36,5,417,219,198
174,80512,"1,619",866,753,115.0,104,56,53,77,27,116,175,303,168,74,413,51,2,51.9,270,"1,384","1,349","1,315",508,466,"1,349",725,624,116.2,466,249,217,114.7,"1,521",98,"1,521","1,508",2,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,98,0,20,10,60,0,0,"1,598",10,20,29,0,60,59,1,0,0,58,"1,560","1,508",2,0,11,0,0,39,1,38,"1,349",725,624
175,80513,"16,184","8,166","8,018",101.8,984,882,"1,027","1,016",876,"1,789","2,142","2,321","1,388","1,172","1,649",755,183,42.4,"3,608","13,187","12,576","12,069","3,247","2,587","12,576","6,326","6,250",101.2,"2,587","1,330","1,257",105.8,"15,411",773,"15,411","14,824",37,148,0,0,11,0,89,0,24,0,0,0,44,21,4,4,0,0,0,309,773,17,220,9,466,0,6,"15,549",60,423,98,4,836,"1,802","1,006",181,88,527,"14,382","13,791",37,22,89,4,105,334,120,214,"12,251","6,135","6,116"
176,80514,"6,275","3,085","3,190",96.7,822,456,534,219,168,"1,357","1,011",692,223,272,408,107,6,32.0,"1,988","4,423","4,287","4,244",669,521,"4,287","2,279","2,008",113.5,521,280,241,116.2,"5,650",625,"5,650","4,782",141,8,7,0,0,0,406,11,84,55,0,0,0,256,15,0,0,0,15,298,625,0,21,68,520,0,0,"5,407",157,29,490,15,829,"1,782","1,551",120,0,111,"4,493","3,955",35,7,367,0,0,129,32,97,"3,978","2,118","1,860"
177,80515,849,405,444,91.2,0,0,0,37,78,46,54,81,117,239,112,85,0,60.1,0,849,849,812,210,197,849,405,444,91.2,197,95,102,93.1,829,20,829,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,849,0,20,0,0,0,4,0,0,0,4,845,825,0,0,0,0,0,20,0,20,849,405,444
178,80516,"34,998","17,406","17,592",98.9,"2,360","3,041","3,452","2,097","1,228","3,469","6,395","5,540","2,051","1,691","2,353","1,084",237,37.7,"10,403","25,529","24,595","23,840","4,513","3,674","24,595","12,371","12,224",101.2,"3,674","1,767","1,907",92.7,"32,100","2,898","32,100","29,548",51,46,18,0,6,0,"2,031",531,449,118,77,52,222,582,34,34,0,0,0,390,"2,898",110,246,623,"1,726",0,0,"32,446",165,435,"2,710",84,"2,255","3,921","2,523",223,91,"1,084","31,077","27,572",51,21,"2,001",34,100,"1,298",314,984,"23,392","11,840","11,552"
179,80517,"10,407","5,102","5,305",96.2,375,380,147,281,348,"1,268","1,026","1,120",745,"1,012","2,636",757,312,56.4,"1,099","9,435","9,308","9,172","4,194","3,705","9,308","4,520","4,788",94.4,"3,705","1,802","1,903",94.7,"9,644",763,"9,644","9,345",61,50,0,10,5,0,138,66,0,0,0,38,0,34,0,0,0,0,0,50,763,10,165,256,303,0,0,"10,108",71,244,394,0,382,952,710,0,42,200,"9,455","8,751",61,40,138,0,50,415,5,410,"8,726","4,236","4,490"
180,80520,"1,736",858,878,97.7,52,13,135,140,135,171,411,163,121,126,177,92,0,40.4,293,"1,481","1,443","1,291",395,269,"1,443",672,771,87.2,269,81,188,43.1,"1,572",164,"1,572","1,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,164,0,0,0,164,0,0,"1,662",0,0,0,0,238,551,434,0,0,117,"1,185","1,185",0,0,0,0,0,0,0,0,"1,342",597,745
181,80521,"38,200","18,836","19,364",97.3,965,"1,001",863,"7,205","11,357","6,475","3,786","1,694","1,088","1,057","1,714",761,234,23.3,"3,410","35,252","34,790","24,504","3,227","2,709","34,790","17,045","17,745",96.1,"2,709","1,209","1,500",80.6,"35,438","2,762","35,438","31,990",703,358,7,18,9,62,"1,399",86,523,55,94,108,29,504,73,10,58,0,5,915,"2,762",429,254,438,"1,017",32,330,"34,309","1,618",762,"1,939",93,"2,423","4,440","2,961",320,54,"1,105","33,760","29,895",631,235,"1,348",40,238,"1,373",216,"1,157","33,200","15,957","17,243"
182,80524,"38,711","20,188","18,523",109.0,"2,152","1,967","2,078","2,652","3,771","5,799","5,289","3,916","2,248","2,462","4,218","1,601",558,36.3,"7,576","32,072","31,135","28,943","7,572","6,377","31,135","16,150","14,985",107.8,"6,377","3,008","3,369",89.3,"35,168","3,543","35,168","32,269",514,583,0,0,17,223,503,122,78,84,38,114,35,32,18,0,10,0,8,"1,281","3,543",283,281,251,"2,380",0,100,"35,641",903,950,921,121,"3,906","6,962","5,538",78,27,"1,319","31,749","29,421",435,113,485,18,188,"1,089",261,828,"29,465","15,023","14,442"
183,80525,"55,315","27,871","27,444",101.6,"2,141","2,814","2,549","3,437","5,752","10,223","6,962","5,888","3,686","3,594","5,034","2,117","1,118",36.5,"9,444","47,197","45,871","43,219","10,354","8,269","45,871","23,119","22,752",101.6,"8,269","3,637","4,632",78.5,"50,085","5,230","50,085","46,395",662,467,19,0,10,6,"1,420",545,215,196,97,82,94,191,123,14,103,0,6,"1,018","5,230",486,420,"1,178","2,720",0,17,"51,424","1,320","1,093","2,813",195,"3,937","6,107","4,071",247,78,"1,711","49,208","44,234",568,195,"1,381",123,313,"2,394",492,"1,902","44,040","22,026","22,014"
184,80526,"44,478","22,227","22,251",99.9,"1,871","2,053","2,587","2,799","6,488","8,163","5,410","4,819","2,154","2,293","3,306","1,567",968,32.3,"8,113","37,386","36,365","34,138","6,935","5,841","36,365","18,006","18,359",98.1,"5,841","2,543","3,298",77.1,"40,779","3,699","40,779","38,262",255,172,0,4,51,0,"1,282",231,313,125,98,44,247,224,58,3,32,0,23,750,"3,699",458,565,582,"1,674",12,53,"41,841",901,835,"1,973",202,"2,644","4,498","3,101",38,48,"1,311","39,980","36,241",212,110,"1,272",58,132,"1,955",246,"1,709","35,432","17,649","17,783"
185,80528,"24,032","11,762","12,270",95.9,"1,105","1,807","2,763","1,952","1,901","2,619","3,551","3,153","1,408","1,087","1,863",682,141,34.6,"7,064","17,926","16,968","16,101","3,279","2,686","16,968","8,515","8,453",100.7,"2,686","1,256","1,430",87.8,"21,294","2,738","21,294","18,873",471,48,1,0,9,0,"1,334",488,332,47,45,328,0,94,5,0,5,0,0,563,"2,738",113,52,263,"2,052",0,9,"21,476",643,188,"1,725",101,"2,758","3,851","2,762",281,39,769,"20,181","17,456",455,4,"1,334",5,44,883,316,567,"15,971","8,077","7,894"
186,80530,"5,774","2,985","2,789",107.0,373,385,397,387,268,"1,011","1,091",670,384,312,339,115,42,35.7,"1,369","4,586","4,405","4,129",693,496,"4,405","2,302","2,103",109.5,496,222,274,81.0,"5,163",611,"5,163","4,673",8,0,0,0,0,0,320,0,0,9,84,0,0,227,2,0,2,0,0,160,611,31,44,45,416,0,7,"5,273",51,108,365,6,642,"1,380","1,015",20,5,340,"4,394","3,954",8,0,315,2,0,115,7,108,"4,325","2,265","2,060"
187,80532,193,113,80,141.3,0,0,20,20,31,0,23,0,18,26,55,0,0,55.3,40,173,153,153,81,55,153,104,49,212.2,55,55,0,-,193,0,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,193,193,0,0,0,0,0,0,0,0,153,104,49
188,80534,"19,368","10,618","8,750",121.3,"1,584","1,220","1,679","1,019","1,753","2,315","3,178","2,479","1,020","1,232","1,079",781,29,35.2,"5,052","14,591","14,316","13,506","2,545","1,889","14,316","7,438","6,878",108.1,"1,889",860,"1,029",83.6,"17,985","1,383","17,985","16,386",69,116,0,0,0,0,674,16,40,60,0,0,535,23,0,0,0,0,0,740,"1,383",45,188,155,736,0,115,"17,654",373,304,829,0,"1,735","2,756","1,955",34,70,697,"16,612","15,204",69,0,674,0,18,647,115,532,"13,911","7,189","6,722"
189,80535,"2,462","1,216","1,246",97.6,100,110,108,128,68,359,339,280,188,305,314,143,20,47.9,425,"2,077","2,037","2,016",732,477,"2,037",997,"1,040",95.9,477,264,213,123.9,"2,417",45,"2,417","2,321",0,25,25,0,0,0,42,0,0,0,0,42,0,0,0,0,0,0,0,29,45,0,23,0,22,0,0,"2,366",0,48,42,0,51,388,338,0,0,50,"2,074","1,984",0,25,42,0,0,23,0,23,"1,986",986,"1,000"
190,80536,"2,437","1,172","1,265",92.6,83,141,93,227,35,154,416,234,182,192,481,187,12,47.1,523,"2,074","1,914","1,889",825,680,"1,914",987,927,106.5,680,352,328,107.3,"2,278",159,"2,278","2,256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,159,0,23,0,136,0,0,"2,415",0,23,0,0,158,283,50,0,11,222,"2,154","2,028",0,0,0,0,22,104,81,23,"1,914",987,927
191,80537,"43,620","22,438","21,182",105.9,"2,596","2,428","1,999","2,610","2,712","6,209","4,933","4,741","3,278","3,261","5,187","2,338","1,328",40.7,"8,249","36,143","35,371","33,704","10,856","8,853","35,371","17,716","17,655",100.3,"8,853","3,934","4,919",80.0,"40,822","2,798","40,822","39,307",153,196,37,0,3,17,287,7,135,7,27,19,92,0,21,21,0,0,0,858,"2,798",137,410,99,"1,979",0,0,"42,073",331,752,473,54,"2,874","4,467","3,504",96,0,867,"39,153","37,489",153,194,280,21,155,861,293,568,"34,951","17,432","17,519"
192,80538,"48,929","23,489","25,440",92.3,"2,038","2,160","4,076","2,878","2,567","5,552","6,480","5,896","2,262","3,561","6,842","2,933","1,684",42.8,"10,135","39,962","38,794","37,270","13,752","11,459","38,794","18,399","20,395",90.2,"11,459","5,197","6,262",83.0,"45,538","3,391","45,538","43,314",453,47,0,0,13,0,521,32,239,85,10,90,17,48,18,0,16,0,2,"1,185","3,391",476,386,306,"1,685",5,37,"46,536","1,190",880,990,55,"3,077","7,037","5,518",216,182,"1,121","41,892","39,649",453,34,521,18,3,"1,214",190,"1,024","37,726","17,969","19,757"
193,80540,"4,637","2,516","2,121",118.6,127,241,393,264,47,229,722,829,496,372,619,272,26,48.9,973,"3,829","3,664","3,606","1,119",917,"3,664","1,998","1,666",119.9,917,508,409,124.2,"4,295",342,"4,295","4,175",20,50,0,0,0,23,27,7,8,0,8,4,0,0,0,0,0,0,0,23,342,0,62,28,252,0,0,"4,517",20,112,55,0,275,269,91,120,0,58,"4,368","4,091",20,50,27,0,11,169,79,90,"3,507","1,914","1,593"
194,80542,"5,179","2,606","2,573",101.3,241,280,594,635,126,460,854,688,451,330,488,17,15,38.2,"1,650","3,904","3,529","3,397",662,520,"3,529","1,847","1,682",109.8,520,305,215,141.9,"4,753",426,"4,753","4,192",0,206,0,0,0,0,114,14,0,0,36,0,0,64,0,0,0,0,0,241,426,0,15,60,249,0,0,"4,618",0,278,174,45,547,935,631,0,0,304,"4,244","4,034",0,0,114,0,0,96,13,83,"3,373","1,728","1,645"
195,80543,"9,109","4,789","4,320",110.9,941,575,644,333,160,"2,574","1,203",867,624,368,600,122,98,32.8,"2,386","6,884","6,723","6,616","1,061",820,"6,723","3,665","3,058",119.8,820,360,460,78.3,"8,401",708,"8,401","8,131",0,0,0,0,0,0,47,0,0,0,0,0,13,34,0,0,0,0,0,223,708,38,120,23,495,0,0,"8,839",38,120,102,0,750,"1,833","1,408",0,0,425,"7,276","7,070",0,0,47,0,0,159,56,103,"6,536","3,520","3,016"
196,80544,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,80545,968,477,491,97.1,0,0,59,5,11,117,80,71,149,92,296,53,35,59.8,64,909,904,893,448,384,904,448,456,98.2,384,180,204,88.2,961,7,961,942,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,7,0,0,0,0,949,0,14,0,0,12,50,13,0,0,37,918,918,0,0,0,0,0,0,0,0,904,448,456
198,80546,234,123,111,110.8,31,0,0,0,36,23,16,18,0,65,0,45,0,51.6,31,203,203,203,45,45,203,92,111,82.9,45,22,23,95.7,169,65,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0,0,234,0,0,0,0,65,119,65,0,0,54,115,115,0,0,0,0,0,0,0,0,203,92,111
199,80547,"7,122","3,352","3,770",88.9,486,771,660,555,130,667,"1,449",988,206,180,885,140,5,36.2,"2,362","4,993","4,760","4,634","1,107","1,030","4,760","2,354","2,406",97.8,"1,030",517,513,100.8,"6,870",252,"6,870","6,584",0,17,17,0,0,0,121,63,0,0,0,5,8,45,0,0,0,0,0,148,252,61,0,0,62,0,26,"6,810",190,53,188,0,236,95,0,0,0,95,"7,027","6,577",0,17,121,0,148,164,0,164,"4,700","2,312","2,388"
